id,name,category,importance,question_count,main_question_count
cf5862dd-f34a-5deb-9d1e-3a023fecf9cc,Object,Java基础,3,6,1
c1e6c90b-d596-508c-81a2-23f2af9d040d,Stream,Java基础,3,1,1
23882cf8-c190-5d60-b8c4-1a4bd980a1c7,String,Java基础,3,11,5
7fb53e10-27b8-5bd4-a7c3-fc9dfa9ff39a,StringBuffer,Java基础,3,1,0
6c96e12f-b816-5f1b-9a63-9f53f6bb98d5,StringBuilder,Java基础,5,3,1
9a4185d9-9066-538b-87f9-90031bd6e531,equals,Java基础,3,1,1
31480c8d-db2b-54e0-b208-74e092446979,final,Java基础,3,3,2
528c9028-a160-57ab-b32c-a0f68765a564,hashCode,Java基础,5,5,1
0a7f57b7-a059-5a05-86db-9e961fb3e615,static,Java基础,3,3,1
00f79663-4597-5886-beed-272027598f33,反射,Java基础,5,4,1
110d5483-a54b-5b63-a17b-adb4e82425f5,基础语法,Java基础,3,9,7
e64bc5e3-ca77-5c4b-b8a6-04c23ba3fd8e,多态,Java基础,3,3,1
47b8e396-ffee-5d85-90f0-d599e34f41b3,序列化,Java基础,3,5,2
672c2fc3-db8c-5640-853b-d57d13244502,异常,Java基础,5,6,3
c458a976-085d-5d7c-a541-22165d32314d,抽象类,Java基础,5,3,1
c4d881bd-3c8c-58c2-8999-84e65deb8ac3,接口,Java基础,3,4,0
168bb709-54e3-52dd-891d-f2e993d47958,数据类型,Java基础,5,2,1
9c169503-2510-548e-9166-6c8d462ea531,泛型,Java基础,3,4,1
537ed4ea-979e-5677-a625-c38bed1e53c6,注解,Java基础,3,1,1
531b8547-5ea4-53ce-8a5b-154089c980e4,继承,Java基础,3,4,0
50aa9195-8aa6-5963-9d5f-03ab9360ddc6,网络编程,Java基础,3,2,1
b71f07d5-db4a-5c51-9ef2-60969bc9b597,自动拆箱,Java基础,3,1,1
6252af7a-b9d8-5808-899d-d169a1028c4c,重载,Java基础,3,2,1
8ec2d41c-05ae-5e20-a3f5-5e2213af4265,面向对象,Java基础,5,11,8
4f018457-99ac-5543-9d78-5c02fdd5cfd2,ABA,Java并发,2,1,0
264ba88e-57d5-5b7a-8704-f2a3ce8cc2cd,AQS,Java并发,4,2,1
5ddbeb50-afe5-5808-a0ce-52ed2b5756df,AtomicInteger,Java并发,3,1,1
e7de1e3b-87dd-58b8-8140-07f91b8e26fd,CAS,Java并发,4,5,2
811b7106-6ebe-5606-a39e-bc958d6ccdb4,CompletableFuture,Java并发,2,1,0
3bc6fbef-cb60-5a89-9df0-abe2c421d573,ConcurrentHashMap,Java并发,5,13,3
279d3aaa-975e-53db-a576-3dbb62f62624,CountDownLatch,Java并发,3,2,2
914e43b0-77b6-5464-884b-eee765c7447b,CyclicBarrier,Java并发,3,1,1
b892ae07-ed0a-5b94-ba99-d1c0a1abe148,Java 内存模型,Java并发,3,6,4
5de8b0cb-ffcd-54d7-a7a1-16cd3c1c1bc5,ReentrantLock,Java并发,5,6,3
002f7471-2c11-597d-a847-3b2af939cd9d,Semaphore,Java并发,3,1,1
afd21480-a738-52f0-9a91-4268a461eaf0,ThreadLocal,Java并发,5,16,8
654814b5-1627-55bf-86d0-aaf76cc27785,synchronized,Java并发,4,13,4
f2d40c8b-d674-52b4-9444-9dd8521c79fa,volatile,Java并发,4,4,1
239aeb56-c9ae-52da-bb4e-954d29b5dc36,内存模型,Java并发,5,1,1
8860d8da-67b8-5f72-8613-60a38eb933ce,协程,Java并发,3,1,0
fae3f937-bf8a-5595-9e92-aad4f637875b,原子性,Java并发,3,1,1
778f5330-6066-55a5-98bb-1e46b7d73181,可见性,Java并发,2,1,0
38bfc1e1-5375-5759-94d3-9aeef468d6b2,基础,Java并发,3,2,2
9b9790ef-d048-5083-bbf9-92082ccf99b0,并发,Java并发,3,1,1
80808eea-9b0c-5164-b1c0-e99b5d6c6b7d,并发容器和框架,Java并发,3,1,1
ca0553f6-c603-5a14-9430-9040f3c62e30,并发工具类,Java并发,4,4,3
e803d4c8-2681-5fe4-a5d8-9745877593e0,死锁,Java并发,4,4,2
661c8574-fb3c-54a6-858c-b349a4f2b185,线程,Java并发,5,33,9
1fbefa7a-8a43-5083-a02b-7995ae5af328,线程池,Java并发,5,28,18
9847fa1b-0332-56cb-a4e8-6cfb411bb8d2,锁,Java并发,3,8,2
5ff37e29-b174-55db-8acf-f53aae9927db,ArrayList,Java集合,4,6,3
9fb2be72-0dc4-58ba-88fa-533f30c0264b,Collection,Java集合,3,1,0
4119879e-4cf1-594a-b0c3-ea77e73339ae,CopyOnWriteArrayList,Java集合,4,1,1
c2b15ef2-c2a9-500f-b138-55d5be9e78c5,HashMap,Java集合,5,26,15
b1c433e0-6808-552d-baa6-27cd7bb4f2e6,HashSet,Java集合,3,2,1
72c2ed44-5d2b-5a8b-852f-2fa59407af8c,LinkedHashMap,Java集合,4,1,1
b387873f-eaab-58b3-8c19-9dcd416d816e,LinkedList,Java集合,5,6,1
e24c105f-eb31-5e17-b525-91d3cb9838a0,Map,Java集合,3,7,3
0a424967-3538-585e-aa3c-b28685bad372,TreeMap,Java集合,3,1,1
5fd5c3e6-a3e1-5a2b-93eb-2d1e5cfbd490,fail-fast,Java集合,3,2,1
1f49dce5-d7c5-58d8-93b5-88a449382ef3,引言,Java集合,5,6,1
357e0782-2728-5a85-a161-b22e7c90c2e3,红黑树,Java集合,3,5,2
99e7f95b-35ca-5244-bfea-a11f7d356e61,ACID,MySQL,3,5,1
8e72cf9f-230f-5e28-bea0-851c9e1e0987,B+树,MySQL,5,10,3
f2ada74c-19ac-5606-8c18-891778307960,Explain,MySQL,3,3,1
e7f28fd6-3bbd-583b-a740-234a0cc6ad68,InnoDB,MySQL,5,8,3
a70b4eb0-5905-5feb-971e-1398f92862ed,MVCC,MySQL,5,2,1
892862e5-cec1-5990-a516-c10daab5e299,MySQL,MySQL,5,33,18
d2e3e8a9-43a2-5fad-bae2-5a8243139cbb,MySQL 基础,MySQL,3,9,7
1565b347-f6aa-5a81-a0ee-27efe6454bcf,ReadView,MySQL,3,3,0
f934c2fc-674d-5d72-8df3-59acbb0c5c12,SQL,MySQL,5,26,7
7f0dcf2e-5019-5658-9940-3af85a4281ce,binlog,MySQL,3,4,0
013bf033-576b-5f18-b895-35d235ce4484,count,MySQL,3,1,1
af78a025-609d-5a9f-8cc8-3bc4165bb3ec,redo log,MySQL,4,15,2
947684f3-da26-51dd-89ed-79de900df93f,varchar,MySQL,3,1,1
ff64da65-45af-523b-b06d-a03a018a2c59,主从复制,MySQL,4,1,1
4506abed-53ca-5f68-9c4b-1c5de198f4a1,主键,MySQL,2,1,0
24515d19-263e-5fe0-b7aa-220ad8fce189,事务,MySQL,3,9,1
39f646e2-1612-583e-9c28-aca3aafa774e,分库分表,MySQL,3,4,3
37d3b658-09b7-573b-83cf-f670abe0ff61,分页,MySQL,3,3,1
cb72d611-151d-55b2-a669-14d4ce911996,回表,MySQL,3,5,1
1a26be09-49e9-59b6-ba88-c5b52c400fba,存储引擎,MySQL,3,1,1
22a2757c-46dc-5bc1-b305-0246e1ef6425,数据库架构,MySQL,3,2,2
ff1f6040-c397-52ae-8fd6-9a0ecdaeff07,日志,MySQL,3,2,1
6cd93995-6715-5642-9dba-45a519e8e765,最左前缀,MySQL,5,3,1
a057ef1e-085b-5515-a42e-3f4c50517964,索引,MySQL,5,24,10
1b79514a-d6d1-518e-9352-3db19e05f173,联合索引,MySQL,4,10,1
f9e68424-1b38-5d03-9df2-1b23e284c869,范式,MySQL,3,2,1
97e581a2-0b6b-537d-81aa-a4c40d20f5b5,覆盖索引,MySQL,4,2,1
3cec9518-a9d7-5d62-8748-becdd49e57c9,运维,MySQL,3,2,2
fd6803c6-f4bd-5c22-9fdd-7206ab73c649,连接,MySQL,3,5,2
60f4eb87-e50c-500f-abff-026a8a45fee2,锁,MySQL,3,9,3
f880b462-519b-5952-bcc4-150f1092dbb2,隔离级别,MySQL,5,7,2
3c87b087-291d-5ef3-bfe0-74bc68901c9c,高可用,MySQL,3,6,5
ff1e27ca-ef2b-5830-8e12-0c9d8e13c071,AOF,Redis,3,6,0
0db7d258-fc23-5771-b334-4fa92fb16495,Bitmap,Redis,3,1,0
57618737-9809-584a-80da-389b01415fb5,GEO,Redis,3,1,0
9922b706-5b31-566e-b7e6-b8e178d45fa6,HyperLogLog,Redis,3,1,0
44ace128-d7b0-56b6-be96-6cb36b83e4d4,IO多路复用,Redis,4,3,1
aa7e68d4-6c9a-5099-807e-3db58511dd83,LRU,Redis,3,1,1
b208789a-4f7a-5456-9911-d976dfa67951,List,Redis,3,4,1
b92c3ca1-fa03-5cc8-8dbb-c4e4aeb007ae,RDB,Redis,3,4,2
24ffcc50-9744-52fb-9a05-c17fc87f8de0,Redis,Redis,5,69,35
e283d77d-292b-5296-b318-1bf42f44b45a,Redis Cluster,Redis,4,1,1
761ed6c7-d131-5306-bb5d-74a0673066a0,Set,Redis,3,2,0
25e7efd3-9838-56b4-b8f6-3035606af957,String,Redis,3,1,0
4f4422d7-f795-5c57-ac7e-c20d29261d24,ZSet,Redis,3,2,0
21776892-e88c-55b0-ab84-cc6beb8a63f9,epoll,Redis,3,2,0
c2d5d17d-1991-5684-980b-bdac8fb1d343,主从复制,Redis,4,6,2
48cd4d6d-fac8-5f71-86e2-a3b170ef1df5,分布式锁,Redis,1,1,0
d9e2703c-48fc-5db5-8d3f-763eb0c7fe62,布隆过滤器,Redis,5,4,1
bd530f3f-3551-59cb-b14f-4570eb464db5,底层结构,Redis,3,1,1
06641daf-996b-5fb3-a05f-777f6d9501f1,持久化,Redis,3,2,0
65c2d66e-bd1f-52a6-943e-2f01b9183322,缓存击穿,Redis,5,1,1
332487ae-f0e7-5247-ada1-7fbdfc0aa817,缓存穿透,Redis,3,1,0
79a78ca1-4054-5459-a2ec-239043a83b89,缓存设计,Redis,5,12,7
5990a9fa-6e66-5cc4-b169-7fb0ea9a580e,缓存雪崩,Redis,3,1,0
fcb2c380-dd12-5ee2-99aa-18a28cbac681,跳表,Redis,5,5,1
95bfc30f-20c4-5eb2-b18d-59e59825abeb,高可用,Redis,3,3,3
1fc0d29a-c4b5-5651-9e19-e7502b63f2d0,@Transactional,Spring,3,1,1
462b7bcf-28e1-52be-9e2e-b889f1e14697,AOP,Spring,5,10,4
a464a643-80fb-5dca-82b2-972f98a67421,Bean,Spring,5,8,4
28c60992-16f7-5ecc-a61b-7c4de762d822,BeanFactory,Spring,4,1,1
e8b3abc2-b081-5ce6-a861-ec8688aac7c2,IoC,Spring,5,8,4
d4bb6b92-c889-5394-9096-ad4dc217caac,Spring,Spring,5,30,18
2ba6a04a-bc88-5373-9f7c-b9df0720d4a7,Spring AOP,Spring,4,5,1
cd7f9444-9e83-54c2-9b82-192cff54d955,Spring Boot,Spring,5,7,3
21b6925f-7086-59fd-8795-148c9f42266b,Spring IoC,Spring,3,1,0
118c348e-ba4a-57d7-8fb9-28d7a177a974,Spring MVC,Spring,5,3,2
a04259e0-f602-5504-ac6d-567a157ce8c9,三级缓存,Spring,3,2,1
d9f294ef-ae12-5bcf-9a18-88dae450400d,事务,Spring,4,3,1
728322b0-9ed4-57f2-b164-3973350809e6,循环依赖,Spring,3,1,1
